No;Kode;Mentah;"Sumber
TKPI 2019";Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;"Kalsium
Ca";"Fosfor
P";"Besi
Fe";"Natrium
Na";"Kalium
Ka";"Tembaga
Cu";"Seng
Zn";"Retino
Vit A";B-Kar;"Karoten
Total";"Thiamin
Vit. B1";"Ribovlavin
Vit. B2";Niasin;Vitamin C;BDD;Kelompok Makanan;Regulasi;;;;;;;;
;;;;(g);(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
267;CP023;Olahan;Dodol banjarmasin;17,3;368;2,6;8,6;70;0,5;1,5;51;180;3,3;48;96;0,4;2,6;-;-;-;0,04;0,07;2,3;-;100;Kacang;KZGMI-2001;;;;;;;;
268;CP024;Olahan;Emping (kerupuk melinjo);13;345;12;1,5;71,5;-;28;100;400;5;-;-;-;-;-;-;-;0,2;-;-;-;100;Kacang;DABM-1964;;;;;;;;
269;CP025;Olahan;Emping komak;14,2;355;17,8;4,6;60,7;-;2,7;87;304;4,3;24;1.233,00;1;2,3;-;-;-;-;-;0,6;-;100;Kacang;KZGMI-2001;;;;;;;;
270;CP026;Olahan;Enting-enting gepuk hello kity;2,4;538;13,6;30,3;52,6;0,2;1;81;248;1,6;-;-;-;-;-;-;202;1;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
271;CP027;Olahan;Enting-enting gepuk kacang tanah;4,2;524;13,3;29,2;52;0,2;1,4;76;248;1,4;-;-;-;-;-;-;272;0,62;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
272;CP028;Olahan;Enting-enting wijen;3,7;565;18,2;38,4;36,8;1,9;3;251;502;10,9;-;-;-;-;-;-;240;0,92;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
273;CP029;Olahan;Geplak;29,6;350;1,4;14,4;53,6;1,8;1;151;43;2,1;-;-;-;-;-;-;120;0,12;0,02;0,8;-;100;Kacang;KZGMI-2001;;;;;;;;
274;CP030;Olahan;Geplak jahe;12,4;462;3,1;24,4;57,7;3,3;2,5;212;161;6,6;-;-;-;-;-;-;272;0,12;-;0,1;-;100;Kacang;KZGMI-2001;;;;;;;;
275;CP031;Olahan;Kacang atom;3,1;533;27,8;38,1;28,8;2,5;2,2;87;423;3;-;-;-;-;-;-;-;0,06;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
276;CP032;Olahan;Kacang goyang;8,3;516;14,7;31,1;44,4;-;1,5;34;230;0,7;2;365;0,6;1,7;-;-;-;-;-;-;-;100;Kacang;KZGMI-2001;;;;;;;;
277;CP033;Olahan;Kacang negara;3,1;480;18,4;19,1;58,5;11,7;0,9;34;404;10,3;1.010;385;2,5;7,1;-;-;-;0,63;0,05;2,6;-;100;Kacang;KZGMI-2001;;;;;;;;
278;CP034;Olahan;Kacang sukro;4,7;484;8,8;26,1;57,7;1,8;2,7;49;194;2,5;-;-;-;-;-;-;-;0,06;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
279;CP035;Olahan;Kacang tanah sari;2,1;561;25,5;43,8;26;2,2;2,6;50;324;3,1;-;-;-;-;-;-;-;0,08;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
280;CP036;Olahan;Keju kacang tanah (peanut butter);3;590;27;49;20,9;1,6;0,1;60;360;2;355;492,4;0,57;2,7;-;-;-;0,3;0,2;16,2;-;100;Kacang;DABM-1964;;;;;;;;
281;CP037;Olahan;Kembang tahu;10,8;380;48,9;13,8;23,3;-;3,2;378;781;2,1;55;455,3;0,68;4,2;-;-;-;0,15;0,08;0,7;-;100;Kacang;KZGPI-1990;;;;;;;;
282;CP038;Olahan;Kembang tahu rebus;79,8;90;10,7;4;4,7;-;0,8;85;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
283;CP039;Olahan;Keripik oncom;3;598;8,3;43,8;42,6;3,3;2,2;85;153;27;-;-;-;-;-;-;1.608;1,13;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
284;CP040;Olahan;Keripik tempe;3,3;581;12,1;40,6;41,7;2,2;2,3;237;116;6,9;-;-;-;-;-;-;320;0,35;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
285;CP041;Olahan;Keripik tempe abadi besar;4,5;556;15,8;37,1;39,8;3,5;2,8;112;215;5,4;-;-;-;-;-;-;-;0,63;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
