No;Kode;Mentah;Sumber;Air (g);Energi (kal);Protein (g);Lemak (g);Karbohidrat (g);Serat (g);Abu (g);Kalsium (mg);Fosfor (mg);Besi (mg);Natrium (mg);Kalium (mg);Tembaga (mg);Seng (mg);Retinol (mcg);B-Karoten (mcg);Karoten Total (mcg);Thiamin (mg);Riboflavin (mg);Niasin (mg);Vitamin C (mg);BDD (%);Kelompok Makanan;Regulasi
1109;MP017;Tunggal;Teh hitam daun kering;8.0;293;24.5;2.8;58.8;8.7;5.9;327;313;24.3;50;5854.80;-;-;-;2700;-;0.07;0.80;7.6;9.0;100;Gula;FCTEA-1972
1110;MP018;Tunggal;Teh melati daun kering;8.1;299;24.1;3.5;59.0;9.7;5.3;320;185;31.6;70;5848.40;0.53;-;-;8400;-;0.07;0.79;7.3;85.0;100;Gula;FCTEA-1972
1111;NP001;Olahan;Balichong;59.9;152;13.2;0.8;22.9;1.5;3.6;380;210;2.9;120;310;0.8;1.1;34;-;-;0.01;0.08;0.2;-;-;Bumbu;KZGMI-2001
1112;NP002;Olahan;Bekasam;65.5;116;11.9;4.9;6.1;3.5;11.6;704;757;7.5;711;176;0.8;1.9;-;-;-;-;0.03;2.1;-;-;Bumbu;KZGMI-2001
1113;NP003;Olahan;Bekasang;67.1;78;11.4;2.0;3.6;0.4;15.9;54;97;2.6;4016;121;0.2;4.8;-;-;-;0.15;0.12;0.6;-;-;Bumbu;KZGMI-2001
1114;NP004;Olahan;Cuka;94.5;21;0.1;0.1;5.0;-;0.3;7;10;0.5;21;37.8;-;-;-;-;-;0.24;-;0.7;-;100;Bumbu;DABM-1964
1115;NP005;Olahan;Kecap;63.0;71;5.7;1.3;9.0;-;21.0;123;96;5.7;1114;-;0.04;-;-;-;-;-;-;-;-;100;Bumbu;DABM-1964
1116;NP006;Olahan;Petis ikan;56.0;165;20.0;0.2;20.8;-;3.0;37;36;2.8;-;-;0.75;-;-;-;0.01;0.20;0.8;-;100;Bumbu;DABM-1964
1117;NP007;Olahan;Petis udang kering;8.3;345;23.8;1.4;59.3;-;7.1;221;397;3.8;11998;462.8;0.50;1.9;-;232;-;1.02;0.40;2.2;-;100;Bumbu;KZGPI-1990
1118;NP008;Olahan;Petis udang pasta;39.0;220;15.0;0.9;38.0;2.3;7.1;37;36;2.8;7981;307.9;0.50;1.3;-;-;-;0.01;0.13;1.7;-;100;Bumbu;DABM-1964
1119;NP009;Olahan;Saos tomat;69.5;110;2.0;0.4;24.5;0.9;3.6;12;18;0.8;890;129.7;0.18;0.3;357;570;-;0.09;0.06;1.7;11.0;100;Bumbu;DABM-1964
1120;NP010;Olahan;Tempoya;70.1;110;1.7;1.3;21.9;2.6;5.0;190;45;2.9;597;486.3;-;-;71;-;-;0.30;0.04;1.1;-;100;Bumbu;KZGMI-2001
1121;NP011;Olahan;Terasi;33.8;155;22.3;2.9;9.9;2.7;31.1;3812;726;78.5;1664;821.4;0.99;2.4;-;-;-;0.24;-;3.3;-;100;Bumbu;KZGPI-1990
1122;NP012;Olahan;Terasi dobo;58.4;191;33.1;3.6;6.6;1.6;11.5;2250;1130;22.9;650;1260.00;2.90;5.0;-;-;-;3.74;0.22;2.1;-;100;Bumbu;KZGMI-2001
1123;NP013;Olahan;Terasi merah;40.0;174;30.0;3.5;5.6;2.2;20.4;100;150;3.1;7850;302.8;0.49;1.2;-;-;-;-;0.12;1.7;-;100;Bumbu;DABM-1964
