Code,Foods,Synonyms,energy,water,protein,fat,carbohydr.,dietary fiber,minerals,org. acids,alcohol,Vit. A,retinol,carotene,Vit. D,Vit. E (eq.),Vit. E,Vit. K,Vit. B1,Vit. B2,niacine,niacineequiv.,pantoth. acid,Vit. B6,biotine,folic acid eq.,tot. fol.acid,free fol.acid,Vit. B12,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,sulfur,chlorine,iron,zinc,copper,manganese,fluorine,iodine,mannit,sorbit,xylit
ZIN0238,pisang ambon,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0239,pisang ambon hong matang,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0240,pisang ambon mentah,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0241,pisang angle,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0242,pisang asem matang,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0243,pisang hijau,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0244,pisang jambe,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0245,pisang jeklek,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0246,pisang kapok gembrot,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0247,pisang kapok kuning,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
