(g);;;;;(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
112;AP113;Olahan;Wingko babat;29,7;355;3,2;15,1;51,4;2,4;0,7;47;63;1,1;-;-;-;-;-;-;-;0,08;0,08;-;-;100;Serealia;KZGPI-1990;;;;;;;;
113;AP114;Olahan;Yangko;37,4;254;3;1,1;58,1;0,8;0,4;184;24;2,6;-;-;-;-;-;-;96;0,15;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
114;AP99;Olahan;Putri hijau;54,8;189;5,4;2,1;37,2;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Serealia;KGZMI-2001;;;;;;;;
115;AR001;Tunggal;Beras giling, mentah;12;357;8,4;1,7;77,1;0,2;0,8;147;81;1,8;27;71;0,1;0,5;-;-;-;0,2;0,08;2,6;-;100;Serealia;KZGMI-2001;;;;;;;;
116;AR002;Tunggal;Beras giling var pelita, mentah;11,4;369;9,5;1,4;77,1;0,4;0,6;68;171;1,4;34;-;-;-;-;-;-;0,26;-;-;-;100;Serealia;KZGPI-1990;;;;;;;;
117;AR003;Tunggal;Beras giling var rojolele, mentah;12;357;8,4;1,7;77,1;0,2;0,8;147;81;1,8;34;112,9;0,14;0,1;-;-;80;0,2;0,02;1,5;-;100;Serealia;KZGPI-1990;;;;;;;;
118;AR004;Tunggal;Beras hitam, mentah;12,9;351;8;1,3;76,9;20,1;0,9;6;198;0,1;15;105;0,1;1,6;-;-;-;0,21;0,06;-;-;100;Serealia;KZGMI-2001;;;;;;;;
119;AR005;Tunggal;Beras jagung kuning, kering, mentah;10,8;358;5,5;0,1;82,7;10;0,9;20;90;1,4;1;80;0,1;4,1;-;641;-;0,12;0,08;1;3;100;Serealia;KZGMI-2001;;;;;;;;
120;AR006;Tunggal;Beras jagung putih, kering, mentah;22,5;307;4,8;0,1;71,8;10;0,8;17;78;1,2;1;70;0,1;3,5;-;301;-;0,15;0,07;0,9;-;100;Serealia;KZGMI-2001;;;;;;;;
121;AR007;Tunggal;Beras ketan hitam tumbuk, mentah;13,7;360;8;2,3;74,5;1;1,5;10;347;6,2;11;288;0,28;2,2;-;-;-;0,24;0,1;2;-;100;Serealia;KZGPI-1990;;;;;;;;
122;AR008;Tunggal;Beras ketan putih tumbuk, mentah;12,9;361;7,4;0,8;78,4;0,4;0,5;13;157;3,4;3;282;0,28;2,2;-;-;-;0,28;-;1,4;-;100;Serealia;KZGPI-1990;;;;;;;;
123;AR009;Tunggal;Beras ladang, mentah;9,8;376;7,5;3,8;78;5,9;0,9;20;110;0,8;10;70;0,1;1,4;-;-;-;0,2;0,2;5,1;-;100;Serealia;KZGMI-2001;;;;;;;;
124;AR010;Tunggal;Beras menir, mentah;12;362;7,7;4,4;73;0,2;0,2;22;272;3,7;90;201;0,1;0,5;-;-;-;0,55;0,04;1,9;-;100;Serealia;DABM-1964;;;;;;;;
125;AR011;Tunggal;Beras parboiled;10;353;6,8;0,6;80;0,5;2,5;5;142;0,8;2;46;0,28;1;-;-;-;0,22;0,11;3,4;-;100;Serealia;DABM-1964;;;;;;;;
126;AR012;Tunggal;Beras tumbuk, mentah;11,5;354;7,8;0,4;79,9;3,8;0,4;3;112;0,6;5;85;0,5;1,5;-;-;-;0,25;0,22;5,1;-;100;Serealia;KZGMI-2001;;;;;;;;
127;AR013;Tunggal;Beras tumbuk merah, mentah;14,6;352;7,3;0,9;76,2;0,8;1;15;257;4,2;10;202;0,36;1,9;-;-;-;0,34;0,05;3,3;-;100;Serealia;KZGPI-1990;;;;;;;;
128;AR014;Tunggal;Cantel, mentah;11;366;11;3,3;73;1,2;1,7;28;287;4,4;7;249;-;-;-;-;-;0,09;0,14;2,8;-;100;Serealia;DABM-1964;;;;;;;;
129;AR015;Tunggal;Jagung muda, kuning, mentah;61,8;147;5,1;0,7;31,5;1,3;0,9;6;122;1,1;5;33,6;0,13;0,8;-;113;261;0,24;0,05;0,8;9;100;Serealia;KZGPI-1990;;;;;;;;
130;AR016;Tunggal;Jagung kuning pipil, kering, mentah;11,5;366;9,8;7,3;69,1;2,2;2,4;30;538;2,3;5;79,4;0,1;1,9;-;636;641;0,12;0,12;1,8;3;100;Serealia;KZGPI-1990;;;;;;;;
131;AR017;Tunggal;Jagung pipil var. harapan, kering;11,3;367;6,2;5,1;76,2;2,6;1,2;7;354;2,8;1;79,6;0,1;1,9;-;637;385;0,19;0,08;1;-;100;Serealia;KZGPI-1990;;;;;;;;
132;AR018;Tunggal;Jagung pipil var. metro, kering;10,6;368;5,5;4,6;78;2,9;1,3;7;300;2,4;1;80,2;0,1;1,9;-;642;554;0,16;0,08;1;-;100;Serealia;KZGPI-1990;;;;;;;;
133;AR019;Tunggal;Jali, mentah;23;324;11;4;61;3,1;1;213;176;11;24;-;0,1;0,4;-;-;-;0,14;0,08;1,8;-;90;Serealia;DABM-1964;;;;;;;;
